query,facet,RecipeId,URL,score
oatmeal,,289773,http://localhost:3000/recipe/289773,4
oatmeal,,344664,http://localhost:3000/recipe/344664,2
oatmeal,,425782,http://localhost:3000/recipe/425782,3
oatmeal,,416085,http://localhost:3000/recipe/416085,3
oatmeal,,43550,http://localhost:3000/recipe/43550,1
oatmeal,,44027,http://localhost:3000/recipe/44027,4
oatmeal,,46003,http://localhost:3000/recipe/46003,4
oatmeal,,47424,http://localhost:3000/recipe/47424,3
oatmeal,,48018,http://localhost:3000/recipe/48018,3
oatmeal,,50627,http://localhost:3000/recipe/50627,4
oatmeal,,52768,http://localhost:3000/recipe/52768,3
oatmeal,,54705,http://localhost:3000/recipe/54705,4
oatmeal,,58106,http://localhost:3000/recipe/58106,4
oatmeal,,58403,http://localhost:3000/recipe/58403,4
oatmeal,,60047,http://localhost:3000/recipe/60047,4
oatmeal,,947,http://localhost:3000/recipe/947,4
oatmeal,,2519,http://localhost:3000/recipe/2519,3
oatmeal,,4005,http://localhost:3000/recipe/4005,2
oatmeal,,8722,http://localhost:3000/recipe/8722,3
oatmeal,,12023,http://localhost:3000/recipe/12023,3
oatmeal,,12262,http://localhost:3000/recipe/12262,3
oatmeal,,12334,http://localhost:3000/recipe/12334,3
oatmeal,,12408,http://localhost:3000/recipe/12408,4
oatmeal,,13372,http://localhost:3000/recipe/13372,4
oatmeal,,16174,http://localhost:3000/recipe/16174,3
oatmeal,,17006,http://localhost:3000/recipe/17006,5
oatmeal,,18579,http://localhost:3000/recipe/18579,4
oatmeal,,20342,http://localhost:3000/recipe/20342,3
oatmeal,,67755,http://localhost:3000/recipe/67755,4
oatmeal,,68081,http://localhost:3000/recipe/68081,2
oatmeal,,68393,http://localhost:3000/recipe/68393,5
oatmeal,,68832,http://localhost:3000/recipe/68832,5
oatmeal,,70617,http://localhost:3000/recipe/70617,4
oatmeal,,72806,http://localhost:3000/recipe/72806,3
oatmeal,,78460,http://localhost:3000/recipe/78460,3
oatmeal,,79023,http://localhost:3000/recipe/79023,3
oatmeal,,79079,http://localhost:3000/recipe/79079,5
oatmeal,,81686,http://localhost:3000/recipe/81686,2
oatmeal,,82071,http://localhost:3000/recipe/82071,1
oatmeal,,85600,http://localhost:3000/recipe/85600,3
oatmeal,,85671,http://localhost:3000/recipe/85671,3
oatmeal,,85718,http://localhost:3000/recipe/85718,4
