query,RecipeId,URL,score
apple pie,45029,http://localhost:3000/recipe/45029,4
apple pie,73500,http://localhost:3000/recipe/73500,2
apple pie,75026,http://localhost:3000/recipe/75026,3
apple pie,87116,http://localhost:3000/recipe/87116,3
apple pie,96079,http://localhost:3000/recipe/96079,2
apple pie,108940,http://localhost:3000/recipe/108940,2
apple pie,186625,http://localhost:3000/recipe/186625,2
apple pie,65429,http://localhost:3000/recipe/65429,5
apple pie,65988,http://localhost:3000/recipe/65988,3
apple pie,145672,http://localhost:3000/recipe/145672,3
apple pie,244643,http://localhost:3000/recipe/244643,3
apple pie,244669,http://localhost:3000/recipe/244669,2
apple pie,254153,http://localhost:3000/recipe/254153,3
apple pie,264886,http://localhost:3000/recipe/264886,3
apple pie,268412,http://localhost:3000/recipe/268412,3
apple pie,273073,http://localhost:3000/recipe/273073,3
apple pie,337821,http://localhost:3000/recipe/337821,2
apple pie,382960,http://localhost:3000/recipe/382960,2
apple pie,400184,http://localhost:3000/recipe/400184,1
apple pie,400632,http://localhost:3000/recipe/400632,2
apple pie,402966,http://localhost:3000/recipe/402966,2
apple pie,429333,http://localhost:3000/recipe/429333,2
apple pie,444942,http://localhost:3000/recipe/444942,2
apple pie,495150,http://localhost:3000/recipe/495150,2
apple pie,509636,http://localhost:3000/recipe/509636,2
apple pie,528999,http://localhost:3000/recipe/528999,2
apple pie,534511,http://localhost:3000/recipe/534511,2
apple pie,541018,http://localhost:3000/recipe/541018,2
apple pie,265898,http://localhost:3000/recipe/265898,2
apple pie,328449,http://localhost:3000/recipe/328449,3
apple pie,267322,http://localhost:3000/recipe/267322,3
apple pie,352044,http://localhost:3000/recipe/352044,3
apple pie,520,http://localhost:3000/recipe/520,4
apple pie,2537,http://localhost:3000/recipe/2537,5
apple pie,3905,http://localhost:3000/recipe/3905,3
apple pie,7251,http://localhost:3000/recipe/7251,2
apple pie,7253,http://localhost:3000/recipe/7253,3
apple pie,8132,http://localhost:3000/recipe/8132,4
apple pie,8133,http://localhost:3000/recipe/8133,3
apple pie,8134,http://localhost:3000/recipe/8134,1
apple pie,8135,http://localhost:3000/recipe/8135,2
apple pie,8136,http://localhost:3000/recipe/8136,1
apple pie,8271,http://localhost:3000/recipe/8271,3
apple pie,8329,http://localhost:3000/recipe/8329,2
apple pie,8421,http://localhost:3000/recipe/8421,2
apple pie,10263,http://localhost:3000/recipe/10263,4
apple pie,10657,http://localhost:3000/recipe/10657,3
apple pie,11166,http://localhost:3000/recipe/11166,5
apple pie,11308,http://localhost:3000/recipe/11308,3
apple pie,12344,http://localhost:3000/recipe/12344,2
apple pie,13838,http://localhost:3000/recipe/13838,3
apple pie,13944,http://localhost:3000/recipe/13944,3
apple pie,14166,http://localhost:3000/recipe/14166,3
apple pie,14218,http://localhost:3000/recipe/14218,3
apple pie,14291,http://localhost:3000/recipe/14291,3
apple pie,14416,http://localhost:3000/recipe/14416,4
apple pie,17969,http://localhost:3000/recipe/17969,3
apple pie,18476,http://localhost:3000/recipe/18476,3
apple pie,20236,http://localhost:3000/recipe/20236,2
apple pie,21289,http://localhost:3000/recipe/21289,4
apple pie,21339,http://localhost:3000/recipe/21339,3
apple pie,43990,http://localhost:3000/recipe/43990,5
apple pie,44354,http://localhost:3000/recipe/44354,3
apple pie,44729,http://localhost:3000/recipe/44729,5
apple pie,45223,http://localhost:3000/recipe/45223,3
apple pie,46041,http://localhost:3000/recipe/46041,4
apple pie,46131,http://localhost:3000/recipe/46131,4
apple pie,51379,http://localhost:3000/recipe/51379,2
apple pie,51777,http://localhost:3000/recipe/51777,2
apple pie,52524,http://localhost:3000/recipe/52524,5
apple pie,53308,http://localhost:3000/recipe/53308,4
apple pie,53743,http://localhost:3000/recipe/53743,4
apple pie,56091,http://localhost:3000/recipe/56091,2
apple pie,57816,http://localhost:3000/recipe/57816,5
apple pie,59420,http://localhost:3000/recipe/59420,3
apple pie,61021,http://localhost:3000/recipe/61021,3
apple pie,62750,http://localhost:3000/recipe/62750,3
apple pie,68418,http://localhost:3000/recipe/68418,2
apple pie,69105,http://localhost:3000/recipe/69105,2
apple pie,69895,http://localhost:3000/recipe/69895,2
apple pie,71398,http://localhost:3000/recipe/71398,3
apple pie,72632,http://localhost:3000/recipe/72632,3
apple pie,73692,http://localhost:3000/recipe/73692,1
apple pie,74255,http://localhost:3000/recipe/74255,3
apple pie,76483,http://localhost:3000/recipe/76483,3
apple pie,76744,http://localhost:3000/recipe/76744,2
apple pie,78277,http://localhost:3000/recipe/78277,3
apple pie,85092,http://localhost:3000/recipe/85092,3
apple pie,85714,http://localhost:3000/recipe/85714,2
apple pie,86027,http://localhost:3000/recipe/86027,2
apple pie,86775,http://localhost:3000/recipe/86775,3
apple pie,87055,http://localhost:3000/recipe/87055,3
apple pie,88973,http://localhost:3000/recipe/88973,2
apple pie,121829,http://localhost:3000/recipe/121829,2
apple pie,122885,http://localhost:3000/recipe/122885,2
apple pie,124088,http://localhost:3000/recipe/124088,2
apple pie,124545,http://localhost:3000/recipe/124545,1
apple pie,124565,http://localhost:3000/recipe/124565,2
apple pie,125322,http://localhost:3000/recipe/125322,3
apple pie,127174,http://localhost:3000/recipe/127174,2
