query,facet,RecipeId,URL,score
pasta bolognese,,206829,http://localhost:3000/recipe/206829,3
pasta bolognese,,281405,http://localhost:3000/recipe/281405,2
pasta bolognese,,508268,http://localhost:3000/recipe/508268,2
pasta bolognese,,142292,http://localhost:3000/recipe/142292,3
pasta bolognese,,352916,http://localhost:3000/recipe/352916,2
pasta bolognese,,367229,http://localhost:3000/recipe/367229,2
pasta bolognese,,526149,http://localhost:3000/recipe/526149,2
pasta bolognese,,537385,http://localhost:3000/recipe/537385,3
pasta bolognese,,97597,http://localhost:3000/recipe/97597,3
pasta bolognese,,529292,http://localhost:3000/recipe/529292,2
pasta bolognese,,242428,http://localhost:3000/recipe/242428,3
pasta bolognese,,101714,http://localhost:3000/recipe/101714,2
pasta bolognese,,16857,http://localhost:3000/recipe/16857,3
pasta bolognese,,131207,http://localhost:3000/recipe/131207,3
pasta bolognese,,239423,http://localhost:3000/recipe/239423,2
pasta bolognese,,270989,http://localhost:3000/recipe/270989,2
pasta bolognese,,272809,http://localhost:3000/recipe/272809,2
pasta bolognese,,413319,http://localhost:3000/recipe/413319,2
pasta bolognese,,355355,http://localhost:3000/recipe/355355,2
pasta bolognese,,338484,http://localhost:3000/recipe/338484,3
pasta bolognese,,530786,http://localhost:3000/recipe/530786,2
pasta bolognese,,316244,http://localhost:3000/recipe/316244,2
pasta bolognese,,486950,http://localhost:3000/recipe/486950,2
pasta bolognese,,399792,http://localhost:3000/recipe/399792,2
pasta bolognese,,455801,http://localhost:3000/recipe/455801,3
pasta bolognese,,528570,http://localhost:3000/recipe/528570,2
pasta bolognese,,511923,http://localhost:3000/recipe/511923,2
pasta bolognese,,526899,http://localhost:3000/recipe/526899,2
pasta bolognese,,541256,http://localhost:3000/recipe/541256,2
pasta bolognese,,459557,http://localhost:3000/recipe/459557,3
pasta bolognese,,518429,http://localhost:3000/recipe/518429,2
pasta bolognese,,309353,http://localhost:3000/recipe/309353,2
pasta bolognese,,493860,http://localhost:3000/recipe/493860,2
pasta bolognese,,294496,http://localhost:3000/recipe/294496,2
pasta bolognese,,424377,http://localhost:3000/recipe/424377,2
pasta bolognese,,352610,http://localhost:3000/recipe/352610,2
pasta bolognese,,312763,http://localhost:3000/recipe/312763,2
pasta bolognese,,171056,http://localhost:3000/recipe/171056,3
pasta bolognese,,295887,http://localhost:3000/recipe/295887,2
pasta bolognese,,39414,http://localhost:3000/recipe/39414,2
pasta bolognese,,477484,http://localhost:3000/recipe/477484,2
pasta bolognese,,428930,http://localhost:3000/recipe/428930,3
pasta bolognese,,98060,http://localhost:3000/recipe/98060,2
pasta bolognese,,500646,http://localhost:3000/recipe/500646,2
pasta bolognese,,538671,http://localhost:3000/recipe/538671,2
pasta bolognese,,301467,http://localhost:3000/recipe/301467,2
pasta bolognese,,367712,http://localhost:3000/recipe/367712,2
