query,facet,RecipeId,URL,score
chicken,Category_Facet:African,446032,http://localhost:3000/recipe/446032,4
chicken,Category_Facet:African,302283,http://localhost:3000/recipe/302283,4
chicken,Category_Facet:African,361991,http://localhost:3000/recipe/361991,2
chicken,Category_Facet:African,457113,http://localhost:3000/recipe/457113,3
chicken,Category_Facet:African,528949,http://localhost:3000/recipe/528949,3
chicken,Category_Facet:African,366997,http://localhost:3000/recipe/366997,5
chicken,Category_Facet:African,452428,http://localhost:3000/recipe/452428,4
chicken,Category_Facet:African,523808,http://localhost:3000/recipe/523808,4
chicken,Category_Facet:African,274513,http://localhost:3000/recipe/274513,4
chicken,Category_Facet:African,425831,http://localhost:3000/recipe/425831,3
chicken,Category_Facet:African,425700,http://localhost:3000/recipe/425700,4
chicken,Category_Facet:African,415734,http://localhost:3000/recipe/415734,2
chicken,Category_Facet:African,51442,http://localhost:3000/recipe/51442,2
chicken,Category_Facet:African,457015,http://localhost:3000/recipe/457015,2
chicken,Category_Facet:African,456140,http://localhost:3000/recipe/456140,2
chicken,Category_Facet:African,267835,http://localhost:3000/recipe/267835,3
chicken,Category_Facet:African,159603,http://localhost:3000/recipe/159603,2
chicken,Category_Facet:African,89024,http://localhost:3000/recipe/89024,1
chicken,Category_Facet:African,423289,http://localhost:3000/recipe/423289,0
chicken,Category_Facet:African,385552,http://localhost:3000/recipe/385552,1
chicken,Category_Facet:African,163027,http://localhost:3000/recipe/163027,2
chicken,Category_Facet:African,120501,http://localhost:3000/recipe/120501,2
chicken,Category_Facet:African,291422,http://localhost:3000/recipe/291422,2
chicken,Category_Facet:African,376643,http://localhost:3000/recipe/376643,1
chicken,Category_Facet:African,330623,http://localhost:3000/recipe/330623,0
chicken,Category_Facet:African,228680,http://localhost:3000/recipe/228680,2
chicken,Category_Facet:African,90514,http://localhost:3000/recipe/90514,0
chicken,Category_Facet:African,242249,http://localhost:3000/recipe/242249,0
chicken,Category_Facet:African,172752,http://localhost:3000/recipe/172752,0
chicken,Category_Facet:African,433889,http://localhost:3000/recipe/433889,1
chicken,Category_Facet:African,505578,http://localhost:3000/recipe/505578,1
chicken,Category_Facet:African,305102,http://localhost:3000/recipe/305102,2
chicken,Category_Facet:African,293373,http://localhost:3000/recipe/293373,1
chicken,Category_Facet:African,489943,http://localhost:3000/recipe/489943,0
chicken,Category_Facet:African,90299,http://localhost:3000/recipe/90299,0
chicken,Category_Facet:African,456737,http://localhost:3000/recipe/456737,0
chicken,Category_Facet:African,539445,http://localhost:3000/recipe/539445,0
chicken,Category_Facet:African,237365,http://localhost:3000/recipe/237365,0
chicken,Category_Facet:African,390503,http://localhost:3000/recipe/390503,0
chicken,Category_Facet:African,440725,http://localhost:3000/recipe/440725,0
chicken,Category_Facet:African,422911,http://localhost:3000/recipe/422911,0
chicken,Category_Facet:African,532472,http://localhost:3000/recipe/532472,0
chicken,Category_Facet:African,129652,http://localhost:3000/recipe/129652,0
chicken,Category_Facet:African,146393,http://localhost:3000/recipe/146393,0
chicken,Category_Facet:African,352805,http://localhost:3000/recipe/352805,0
chicken,Category_Facet:African,444291,http://localhost:3000/recipe/444291,0
chicken,Category_Facet:African,173260,http://localhost:3000/recipe/173260,0
chicken,Category_Facet:African,166276,http://localhost:3000/recipe/166276,0
chicken,Category_Facet:African,367000,http://localhost:3000/recipe/367000,0
chicken,Category_Facet:African,280063,http://localhost:3000/recipe/280063,0
chicken,Category_Facet:African,171370,http://localhost:3000/recipe/171370,0
chicken,Category_Facet:African,232830,http://localhost:3000/recipe/232830,0
chicken,Category_Facet:African,310035,http://localhost:3000/recipe/310035,0
chicken,Category_Facet:African,80983,http://localhost:3000/recipe/80983,0
chicken,Category_Facet:African,457168,http://localhost:3000/recipe/457168,0
chicken,Category_Facet:African,428547,http://localhost:3000/recipe/428547,0
chicken,Category_Facet:African,309861,http://localhost:3000/recipe/309861,0
chicken,Category_Facet:African,172749,http://localhost:3000/recipe/172749,0
chicken,Category_Facet:African,107277,http://localhost:3000/recipe/107277,0
chicken,Category_Facet:African,170871,http://localhost:3000/recipe/170871,0
chicken,Category_Facet:African,211007,http://localhost:3000/recipe/211007,0
chicken,Category_Facet:African,172755,http://localhost:3000/recipe/172755,0
